Date,Open,High,Low,Close,Adj Close,Volume
2019-02-11,47.340000,47.709999,47.130001,47.580002,47.280647,19363600
2019-02-12,47.270000,48.150002,47.160000,47.889999,47.588696,23909200
2019-02-13,47.860001,47.950001,47.119999,47.500000,47.201149,28325600
2019-02-14,48.849998,49.680000,48.340000,48.400002,48.095490,47598600
2019-02-15,48.830002,49.590000,48.439999,49.430000,49.119007,30189600
2019-02-19,49.200001,49.930000,49.200001,49.650002,49.337624,20204500
2019-02-20,49.700001,49.799999,49.349998,49.630001,49.317749,17550900
2019-02-21,49.540001,49.720001,49.200001,49.410000,49.099133,17120600
2019-02-22,49.700001,50.220001,49.580002,50.110001,49.794731,22008100
2019-02-25,50.340000,51.000000,50.340000,50.790001,50.470451,24264300
2019-02-26,50.509998,51.410000,50.480000,51.180000,50.857998,19382500
2019-02-27,51.209999,51.650002,50.889999,51.590000,51.265419,19940900
2019-02-28,51.549999,51.959999,51.349998,51.770000,51.444286,30708500
2019-03-01,52.000000,52.090000,51.270000,51.410000,51.086552,23683700
2019-03-04,51.650002,51.919998,50.630001,51.160000,50.838123,18725900
2019-03-05,51.119999,51.509998,50.970001,51.299999,50.977242,14994200
2019-03-06,51.369999,51.790001,50.919998,51.669998,51.344913,19686900
2019-03-07,51.549999,51.970001,51.209999,51.290001,50.967308,22208400
2019-03-08,50.720001,51.130001,50.509998,51.070000,50.748688,18182200
2019-03-11,51.139999,52.090000,51.099998,51.919998,51.593342,17859300
2019-03-12,52.009998,52.279999,51.680000,52.150002,51.821896,19485300
2019-03-13,52.410000,52.860001,52.139999,52.590000,52.259125,20568000
2019-03-14,52.630001,52.959999,52.509998,52.740002,52.408184,19215900
2019-03-15,52.939999,53.619999,52.930000,53.200001,52.865288,43670700
2019-03-18,53.270000,53.939999,53.090000,53.509998,53.173336,19073800
2019-03-19,53.790001,54.000000,53.139999,53.310001,52.974598,20596400
2019-03-20,53.160000,53.869999,52.860001,53.259998,52.924908,21140800
2019-03-21,53.080002,54.230000,53.040001,53.939999,53.600632,20082700
2019-03-22,53.910000,54.139999,52.700001,52.740002,52.408184,23938500
2019-03-25,52.700001,52.930000,52.250000,52.730000,52.398247,18774900
2019-03-26,53.189999,53.490002,53.000000,53.230000,52.895100,17742700
2019-03-27,53.299999,53.660000,52.740002,53.139999,52.805664,20447500
2019-03-28,53.189999,53.689999,53.020000,53.360001,53.024284,13095000
2019-03-29,53.700001,54.000000,53.360001,53.990002,53.650318,19582300
2019-04-01,54.480000,55.020000,54.389999,54.980000,54.634090,19741700
2019-04-02,55.000000,55.410000,54.970001,55.290001,54.942139,17264000
2019-04-03,55.459999,55.799999,55.070000,55.630001,55.280003,21110400
2019-04-04,55.369999,55.680000,54.860001,55.139999,55.139999,16412100
2019-04-05,55.250000,55.610001,55.130001,55.209999,55.209999,13817500
2019-04-08,55.200001,55.560001,54.790001,55.490002,55.490002,13862800
2019-04-09,55.080002,55.419998,54.860001,55.180000,55.180000,15508400
2019-04-10,55.110001,55.840000,55.110001,55.820000,55.820000,13460200
2019-04-11,55.930000,55.950001,55.310001,55.599998,55.599998,13186000
2019-04-12,55.930000,56.360001,55.790001,56.290001,56.290001,14331700
2019-04-15,56.400002,56.610001,56.240002,56.560001,56.560001,12198400
2019-04-16,56.619999,57.529999,56.610001,56.950001,56.950001,19718300
2019-04-17,57.180000,57.320000,56.290001,56.310001,56.310001,26093600
2019-04-18,56.630001,56.700001,56.110001,56.400002,56.400002,18332000
2019-04-22,56.160000,56.599998,56.099998,56.340000,56.340000,11951500
2019-04-23,56.430000,56.700001,56.200001,56.689999,56.689999,18796600
2019-04-24,56.639999,57.150002,56.580002,56.880001,56.880001,13212000
2019-04-25,56.459999,56.779999,56.009998,56.330002,56.330002,15526900
2019-04-26,56.020000,56.369999,55.680000,55.880001,55.880001,18010900
2019-04-29,55.669998,56.220001,55.549999,56.130001,56.130001,16259500
2019-04-30,56.000000,56.119999,55.529999,55.950001,55.950001,20846000
2019-05-01,56.000000,56.349998,55.509998,55.580002,55.580002,17648500
2019-05-02,55.480000,55.889999,54.820000,54.939999,54.939999,24220600
2019-05-03,54.639999,54.990002,54.180000,54.939999,54.939999,26887100
2019-05-06,53.860001,54.759998,53.560001,54.590000,54.590000,17025900
2019-05-07,53.860001,54.240002,52.939999,53.450001,53.450001,25289700
2019-05-08,53.169998,53.939999,53.130001,53.470001,53.470001,21525100
2019-05-09,52.820000,53.209999,52.230000,52.919998,52.919998,24074300
